"Year","Location","Sunshine_duration","Altitude","Annual_Precipitation","Annual_temperature","Annual_ice_days","Annual_frost_days","Annual_summer_days","Annual_heat_days","Annual_tropic_days","Annual_precipitation_days"
1952,"BaselBinningen",1537.85,316,920.8,9.7,NA,NA,NA,NA,NA,NA
1952,"BernZollikofen",1787.08333333333,553,1234.1,8.3,NA,NA,NA,NA,NA,NA
1952,"Davos",1527.6,1594,1127.2,2.2,NA,NA,NA,NA,NA,NA
1952,"GenfCointrin",1902.15,411,1089.4,9.9,NA,NA,NA,NA,NA,NA
1952,"LocarnoMonti",2365.4,367,1829.5,11.3,NA,NA,NA,NA,NA,NA
1952,"Lugano",2143.8,273,1396.9,11.6,NA,NA,NA,NA,NA,NA
1952,"Luzern",1526.1,454,1165.4,8.9,NA,NA,NA,NA,NA,NA
1952,"Neuenburg",1822.9,485,1155.4,9.6,NA,NA,NA,NA,NA,NA
1952,"Säntis",1677.9,2501,3117.5,-2.5,NA,NA,NA,NA,NA,NA
1952,"Samedan",NA,1709,781.6,1.4,NA,NA,NA,NA,NA,NA
1952,"Sitten",NA,482,829.9,9.2,NA,NA,NA,NA,NA,NA
1952,"St.Gallen",NA,776,1632.4,7.4,NA,NA,NA,NA,NA,NA
1952,"ZürichFluntern",1677.81666666667,556,1261.5,8.6,NA,NA,NA,NA,NA,NA
1953,"BaselBinningen",1744.15,316,498.9,9.6,NA,NA,NA,NA,NA,NA
1953,"BernZollikofen",1791.8,553,728.7,8,NA,NA,NA,NA,NA,NA
1953,"Davos",1762.2,1594,744.6,2.7,NA,NA,NA,NA,NA,NA
1953,"GenfCointrin",1799.61666666667,411,641.1,9.7,NA,NA,NA,NA,NA,NA
1953,"LocarnoMonti",2329.6,367,1779.6,11.9,NA,NA,NA,NA,NA,NA
1953,"Lugano",2114.9,273,1365.3,12,NA,NA,NA,NA,NA,NA
1953,"Luzern",1540,454,1026.1,8.8,NA,NA,NA,NA,NA,NA
1953,"Neuenburg",1724.8,485,662.8,9.2,NA,NA,NA,NA,NA,NA
1953,"Säntis",2261.9,2501,1736.8,-1,NA,NA,NA,NA,NA,NA
1953,"Samedan",NA,1709,551.9,1.7,NA,NA,NA,NA,NA,NA
1953,"Sitten",NA,482,338.9,9.1,NA,NA,NA,NA,NA,NA
1953,"St.Gallen",NA,776,1242.8,7.4,NA,NA,NA,NA,NA,NA
1953,"ZürichFluntern",1765.5,556,844.4,8.5,NA,NA,NA,NA,NA,NA
1954,"BaselBinningen",1437.33333333333,316,876.4,9,NA,NA,NA,NA,NA,NA
1954,"BernZollikofen",1607.1,553,1131.6,7.7,NA,NA,NA,NA,NA,NA
1954,"Davos",1392.8,1594,1303.1,1.9,NA,NA,NA,NA,NA,NA
1954,"GenfCointrin",1722.23333333333,411,1016.9,9.4,NA,NA,NA,NA,NA,NA
1954,"LocarnoMonti",2151.4,367,1979.4,11,NA,NA,NA,NA,NA,NA
1954,"Lugano",1961,273,1670.5,11.2,NA,NA,NA,NA,NA,NA
